Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link
Epic,"FG-ENF Network Engine","Android VpnService local DNS sinkhole, Trie-based DomainPolicyCache, and application-aware network decisions.",High,vpn,FG-ENF Network Engine,
Story,"FG-401: VpnService Local DNS Sinkhole","Build local TUN interface intercepting UDP port 53 DNS queries and returning NXDOMAIN for blocked domains.",High,vpn,,FG-ENF Network Engine
Story,"FG-402: Trie-based DomainPolicyCache","Develop high-performance O(k) reverse-label Trie cache with deterministic precedence (Allow > Block).",High,vpn,,FG-ENF Network Engine
Story,"FG-403: Application-Aware Network Decision Engine","Map package bundle IDs to outbound hostnames for application-specific network cutoff upon limit exhaustion.",Medium,vpn,,FG-ENF Network Engine
Epic,"FG-ENF Policy Engine","Shared multi-target policy engine, budget calculation, progressive warnings, policy simulator, and explainer.",High,policy,FG-ENF Policy Engine,
Story,"FG-501: Shared Policy Model & Evaluator","Define multi-target (DOMAIN, APP, CATEGORY, URL) and multi-rule (BLOCK, ALLOW, TIME_LIMIT, FOCUS_ONLY) evaluation.",High,policy,,FG-ENF Policy Engine
Story,"FG-502: Progressive Warning Thresholds","Calculate allocated, consumed, and remaining attention budgets with warnings at 80%, 90%, and 100%.",High,policy,,FG-ENF Policy Engine
Story,"FG-503: Policy Simulator & Conflict Detector","Implement dry-run policy simulator detecting rule conflicts and explaining deterministic precedence.",High,policy,,FG-ENF Policy Engine
Story,"FG-504: Policy Explainer (Why Blocked?)","Provide automated inspection explaining why any domain is restricted, category, and enforcing layer.",Medium,policy,,FG-ENF Policy Engine
Epic,"FG-ENF Usage Detection","Active visibility time algorithm, idle detection, tab switching, and midnight session partitioning.",High,usage,FG-ENF Usage Detection,
Story,"FG-601: Active Visibility Time & 60s Idle Detector","Track active visibility time with tab activation, window focus, minimization, and 60s idle threshold.",High,usage,,FG-ENF Usage Detection
Story,"FG-602: Session State Machine","Implement robust state machine transitions: UNKNOWN -> ACTIVE -> IDLE -> PAUSED -> ENDED.",High,usage,,FG-ENF Usage Detection
Story,"FG-603: Midnight Session Partitioner","Normalize raw usage intervals crossing 00:00 UTC into distinct daily aggregation records.",Medium,usage,,FG-ENF Usage Detection
Epic,"FG-ENF Synchronization","Real-time WebSocket hub, monotonic policy versioning, offline queue, and cross-device shared budget.",High,sync,FG-ENF Synchronization,
Story,"FG-701: Go WebSocket Broadcast Hub","Develop Gorilla WebSocket broadcast hub for live LIMIT_REACHED and FOCUS_STARTED events.",High,sync,,FG-ENF Synchronization
Story,"FG-702: Monotonic Policy Versioning & Offline Cache","Guarantee offline enforcement via local cache; resolve sync conflicts with monotonic versioning.",High,sync,,FG-ENF Synchronization
Story,"FG-703: Cross-Device Shared Attention Budget","Aggregate cumulative usage across Mac, Android, and Extension in real-time triggering simultaneous fleet shields.",High,sync,,FG-ENF Synchronization
Epic,"FG-ENF Analytics","Attention score algorithm, daily visual timeline, weekly distraction trends, and productivity reports.",Medium,analytics,FG-ENF Analytics,
Story,"FG-801: Transparent Attention Score Calculator","Calculate 0-100 score based on focus completion, limit adherence, distraction deduction, and shields.",Medium,analytics,,FG-ENF Analytics
Story,"FG-802: Daily Visual Activity Timeline","Generate privacy-preserving timeline blocks showing productive hours, focus sessions, and top distractions.",Medium,analytics,,FG-ENF Analytics
Story,"FG-803: Weekly Trends & Distraction Breakdown","Aggregate weekly usage trends and distraction app rankings.",Medium,analytics,,FG-ENF Analytics
Epic,"FG-ENF Security","Monotonic clock anti-tamper validation, secure hardware-backed storage, and tamper state telemetry.",High,security,FG-ENF Security,
Story,"FG-901: Monotonic Clock Anti-Tamper Detector","Compare wall-clock elapsed time against CLOCK_MONOTONIC_RAW / elapsedRealtime() to catch clock manipulation.",High,security,,FG-ENF Security
Story,"FG-902: Secure Token Storage (Keychain / Keystore)","Integrate Apple Keychain Services and Android Keystore HSM for JWT and credential storage.",High,security,,FG-ENF Security
Story,"FG-903: Fleet Protection Health & Tamper Telemetry","Broadcast PROTECTION DEGRADED alerts on VPN stop, extension disable, or permission revocation.",High,security,,FG-ENF Security
Epic,"FG-ENF Testing","Comprehensive unit, integration, proof harness, and end-to-end multi-device verification test suites.",High,testing,FG-ENF Testing,
Task,"FG-1001: Go Backend Test Suite","Automated unit and API integration tests covering auth, devices, policies, simulator, health, and usage sync.",High,testing,,FG-ENF Testing
Task,"FG-1002: Browser Extension Core Test Suite","Automated tests for domain normalizer, subdomain matcher, URL patterns, session tracker, and policy engine.",High,testing,,FG-ENF Testing
Task,"FG-1003: Native Platform Proof Harnesses","Automated macOS Swift Proof A and Android Go Proof B validating real Screen Time & VPN DNS sinkhole pipelines.",High,testing,,FG-ENF Testing
